"Your input","Epoch timestamp","Converted epoch (double-check your input!)"
2013-01-28T01:43:37+01:00,1359333817,Mon, 28 Jan 2013 00:43:37 +0000
2013-01-28T01:43:38+01:00,1359333818,Mon, 28 Jan 2013 00:43:38 +0000
2013-01-28T01:43:39+01:00,1359333819,Mon, 28 Jan 2013 00:43:39 +0000
2013-01-28T01:43:40+01:00,1359333820,Mon, 28 Jan 2013 00:43:40 +0000
2013-01-28T01:43:41+01:00,1359333821,Mon, 28 Jan 2013 00:43:41 +0000
2013-01-28T01:43:42+01:00,1359333822,Mon, 28 Jan 2013 00:43:42 +0000
2013-01-28T01:43:43+01:00,1359333823,Mon, 28 Jan 2013 00:43:43 +0000
2013-01-28T01:43:44+01:00,1359333824,Mon, 28 Jan 2013 00:43:44 +0000
2013-01-28T01:43:45+01:00,1359333825,Mon, 28 Jan 2013 00:43:45 +0000
2013-01-28T01:43:46+01:00,1359333826,Mon, 28 Jan 2013 00:43:46 +0000
2013-01-28T01:43:47+01:00,1359333827,Mon, 28 Jan 2013 00:43:47 +0000
2013-01-28T01:43:48+01:00,1359333828,Mon, 28 Jan 2013 00:43:48 +0000
2013-01-28T01:43:49+01:00,1359333829,Mon, 28 Jan 2013 00:43:49 +0000
2013-01-28T01:43:50+01:00,1359333830,Mon, 28 Jan 2013 00:43:50 +0000
2013-01-28T01:43:51+01:00,1359333831,Mon, 28 Jan 2013 00:43:51 +0000
2013-01-28T01:43:52+01:00,1359333832,Mon, 28 Jan 2013 00:43:52 +0000
2013-01-28T01:43:53+01:00,1359333833,Mon, 28 Jan 2013 00:43:53 +0000
2013-01-28T01:43:54+01:00,1359333834,Mon, 28 Jan 2013 00:43:54 +0000
2013-01-28T01:43:55+01:00,1359333835,Mon, 28 Jan 2013 00:43:55 +0000
2013-01-28T01:43:56+01:00,1359333836,Mon, 28 Jan 2013 00:43:56 +0000
2013-01-28T01:43:57+01:00,1359333837,Mon, 28 Jan 2013 00:43:57 +0000
2013-01-28T01:43:58+01:00,1359333838,Mon, 28 Jan 2013 00:43:58 +0000
2013-01-28T01:43:59+01:00,1359333839,Mon, 28 Jan 2013 00:43:59 +0000
2013-01-28T01:44:00+01:00,1359333840,Mon, 28 Jan 2013 00:44:00 +0000
2013-01-28T01:44:01+01:00,1359333841,Mon, 28 Jan 2013 00:44:01 +0000
2013-01-28T01:44:02+01:00,1359333842,Mon, 28 Jan 2013 00:44:02 +0000
2013-01-28T01:44:03+01:00,1359333843,Mon, 28 Jan 2013 00:44:03 +0000
2013-01-28T01:44:04+01:00,1359333844,Mon, 28 Jan 2013 00:44:04 +0000
2013-01-28T01:44:05+01:00,1359333845,Mon, 28 Jan 2013 00:44:05 +0000
2013-01-28T01:44:06+01:00,1359333846,Mon, 28 Jan 2013 00:44:06 +0000
2013-01-28T01:44:07+01:00,1359333847,Mon, 28 Jan 2013 00:44:07 +0000
2013-01-28T01:44:08+01:00,1359333848,Mon, 28 Jan 2013 00:44:08 +0000
2013-01-28T01:44:09+01:00,1359333849,Mon, 28 Jan 2013 00:44:09 +0000
2013-01-28T01:44:10+01:00,1359333850,Mon, 28 Jan 2013 00:44:10 +0000
2013-01-28T01:44:11+01:00,1359333851,Mon, 28 Jan 2013 00:44:11 +0000
2013-01-28T01:44:12+01:00,1359333852,Mon, 28 Jan 2013 00:44:12 +0000
2013-01-28T01:44:13+01:00,1359333853,Mon, 28 Jan 2013 00:44:13 +0000
2013-01-28T01:44:14+01:00,1359333854,Mon, 28 Jan 2013 00:44:14 +0000
2013-01-28T01:44:15+01:00,1359333855,Mon, 28 Jan 2013 00:44:15 +0000
2013-01-28T01:44:16+01:00,1359333856,Mon, 28 Jan 2013 00:44:16 +0000
2013-01-28T01:44:17+01:00,1359333857,Mon, 28 Jan 2013 00:44:17 +0000
2013-01-28T01:44:18+01:00,1359333858,Mon, 28 Jan 2013 00:44:18 +0000
2013-01-28T01:44:19+01:00,1359333859,Mon, 28 Jan 2013 00:44:19 +0000
2013-01-28T01:44:20+01:00,1359333860,Mon, 28 Jan 2013 00:44:20 +0000
2013-01-28T01:44:21+01:00,1359333861,Mon, 28 Jan 2013 00:44:21 +0000
2013-01-28T01:44:22+01:00,1359333862,Mon, 28 Jan 2013 00:44:22 +0000
2013-01-28T01:44:23+01:00,1359333863,Mon, 28 Jan 2013 00:44:23 +0000
2013-01-28T01:44:24+01:00,1359333864,Mon, 28 Jan 2013 00:44:24 +0000
2013-01-28T01:44:25+01:00,1359333865,Mon, 28 Jan 2013 00:44:25 +0000
2013-01-28T01:44:26+01:00,1359333866,Mon, 28 Jan 2013 00:44:26 +0000
2013-01-28T01:44:27+01:00,1359333867,Mon, 28 Jan 2013 00:44:27 +0000
2013-01-28T01:44:28+01:00,1359333868,Mon, 28 Jan 2013 00:44:28 +0000
2013-01-28T01:44:29+01:00,1359333869,Mon, 28 Jan 2013 00:44:29 +0000
2013-01-28T01:44:30+01:00,1359333870,Mon, 28 Jan 2013 00:44:30 +0000
2013-01-28T01:44:31+01:00,1359333871,Mon, 28 Jan 2013 00:44:31 +0000
2013-01-28T01:44:32+01:00,1359333872,Mon, 28 Jan 2013 00:44:32 +0000
2013-01-28T01:44:33+01:00,1359333873,Mon, 28 Jan 2013 00:44:33 +0000
2013-01-28T01:44:34+01:00,1359333874,Mon, 28 Jan 2013 00:44:34 +0000
2013-01-28T01:44:35+01:00,1359333875,Mon, 28 Jan 2013 00:44:35 +0000
2013-01-28T01:44:36+01:00,1359333876,Mon, 28 Jan 2013 00:44:36 +0000
2013-01-28T01:44:37+01:00,1359333877,Mon, 28 Jan 2013 00:44:37 +0000
2013-01-28T01:44:38+01:00,1359333878,Mon, 28 Jan 2013 00:44:38 +0000
2013-01-28T01:44:39+01:00,1359333879,Mon, 28 Jan 2013 00:44:39 +0000
2013-01-28T01:44:40+01:00,1359333880,Mon, 28 Jan 2013 00:44:40 +0000
2013-01-28T01:44:41+01:00,1359333881,Mon, 28 Jan 2013 00:44:41 +0000
2013-01-28T01:44:42+01:00,1359333882,Mon, 28 Jan 2013 00:44:42 +0000
2013-01-28T01:44:43+01:00,1359333883,Mon, 28 Jan 2013 00:44:43 +0000
2013-01-28T01:44:44+01:00,1359333884,Mon, 28 Jan 2013 00:44:44 +0000
2013-01-28T01:44:45+01:00,1359333885,Mon, 28 Jan 2013 00:44:45 +0000
2013-01-28T01:44:46+01:00,1359333886,Mon, 28 Jan 2013 00:44:46 +0000
2013-01-28T01:44:47+01:00,1359333887,Mon, 28 Jan 2013 00:44:47 +0000
2013-01-28T01:44:48+01:00,1359333888,Mon, 28 Jan 2013 00:44:48 +0000
2013-01-28T01:44:49+01:00,1359333889,Mon, 28 Jan 2013 00:44:49 +0000
2013-01-28T01:44:50+01:00,1359333890,Mon, 28 Jan 2013 00:44:50 +0000
2013-01-28T01:44:51+01:00,1359333891,Mon, 28 Jan 2013 00:44:51 +0000
2013-01-28T01:44:52+01:00,1359333892,Mon, 28 Jan 2013 00:44:52 +0000
2013-01-28T01:44:53+01:00,1359333893,Mon, 28 Jan 2013 00:44:53 +0000
2013-01-28T01:44:54+01:00,1359333894,Mon, 28 Jan 2013 00:44:54 +0000
2013-01-28T01:44:55+01:00,1359333895,Mon, 28 Jan 2013 00:44:55 +0000
2013-01-28T01:44:56+01:00,1359333896,Mon, 28 Jan 2013 00:44:56 +0000
2013-01-28T01:44:57+01:00,1359333897,Mon, 28 Jan 2013 00:44:57 +0000
